id,arm,model,truth_kind,true_shape,true_alpha,snr,s2_factor,shape_param,shape_p50,shape_p16,shape_p84,rail_class,shape_covered_95,alpha_p50,log10_tau_true,log10_tau_p50,tau_covered_95,logz,logzerr,runtime_s,note
a-exp-a4-tau1e-03-F1,a,F1,exp,nan,4.0,100.0,10.0,beta,3.9926225017455423,3.984146808950243,3.997864631322006,ceiling-rail,,4.00740481275103,-3.0,-3.0009360458153127,True,-22746.292495050537,0.5441348955076796,144,beta=4 endpoint truth; ceiling pile expected
a-thin-b3.3-tau1e-03-F1,a,F1,thin,3.3,5.0769230769230775,100.0,10.0,beta,3.3018057229509057,3.2953646182907548,3.30784720110406,interior,True,5.072655104736277,-3.0,-2.9987103737540304,True,-22762.742630680597,0.5368029432965287,128,"interior truth, dsa-resolved"
a-thin-b3.3-tau1e-04-F1,a,F1,thin,3.3,5.0769230769230775,100.0,10.0,beta,3.2921837052874383,3.281212250998103,3.302475087546191,interior,True,5.0955350881090276,-3.8239087409443187,-3.8291540135802897,True,-22706.52764902927,0.5319678132241594,127,"interior truth, dsa-unresolved"
a-thin-b3.67-tau1e-03-F1-seed2,a,F1,thin,3.67,4.395209580838324,100.0,10.0,beta,3.677092820424324,3.6702703968453374,3.683812654004165,interior,True,4.3850796755470896,-3.0,-2.9984322957655505,True,-23002.155921344805,0.5456021900678576,133,noise-seed repeat
a-thin-b3.67-tau1e-03-F1-seed3,a,F1,thin,3.67,4.395209580838324,100.0,10.0,beta,3.6643468156707546,3.6578505946623636,3.6710084275457313,interior,True,4.403345241711503,-3.0,-3.0017543013999926,True,-23168.90714189499,0.5187611727363874,133,noise-seed repeat
a-thin-b3.67-tau1e-03-F1-seed4,a,F1,thin,3.67,4.395209580838324,100.0,10.0,beta,3.658839295557428,3.6522013645933002,3.665940056132493,interior,True,4.4113245995030885,-3.0,-3.004310963686579,False,-22924.517874782618,0.5316635868278553,153,noise-seed repeat
a-thin-b3.67-tau1e-03-F1,a,F1,thin,3.67,4.395209580838324,100.0,10.0,beta,3.6729338440782042,3.6657619489626025,3.6802136576887685,interior,True,4.391009073167518,-3.0,-2.998496461368672,True,-22752.145454903435,0.537375454116099,136,"interior truth, dsa-resolved"
a-thin-b3.67-tau1e-04-F1,a,F1,thin,3.67,4.395209580838324,100.0,10.0,beta,3.652742973217146,3.643458615971211,3.6616991762344404,interior,True,4.420219032735503,-3.8239087409443187,-3.83098956468531,True,-22695.17240617651,0.5426691207279051,135,"interior truth, dsa-unresolved"
a-thin-b3.9-tau1e-03-F1,a,F1,thin,3.9,4.105263157894737,100.0,10.0,beta,3.90152270467959,3.892551953288711,3.911115151325131,interior,True,4.103577301578425,-3.0,-2.9989749872162266,True,-22747.291046289873,0.534804110368163,138,"interior truth, dsa-resolved"
a-thin-b3.9-tau1e-04-F1,a,F1,thin,3.9,4.105263157894737,100.0,10.0,beta,3.870047857337062,3.85491385757642,3.8857077326402547,interior,True,4.138982691970236,-3.8239087409443187,-3.832435370957767,True,-22690.956322648486,0.5389329010270809,142,"interior truth, dsa-unresolved"
b-exp-a3.2-F1,b,F1,exp,nan,3.2,100.0,10.0,beta,3.999840982217241,3.99958944397765,3.9999618948307765,ceiling-rail,,4.000159030427092,-3.0,-3.178539808308619,False,-24827.201698045275,0.5628892805510233,156,finite-screen-like alpha<4 exponential truth
b-exp-a3.2-F2,b,F2,exp,3.2,3.2,100.0,10.0,alpha,3.198095652505458,3.18801513216809,3.2086644680135556,interior,True,3.198095652505458,-3.0,-2.9991048167320775,True,-22731.506366724123,0.5494541363320974,127,finite-screen-like alpha<4 exponential truth
b-exp-a5.0-F1,b,F1,exp,nan,5.0,100.0,10.0,beta,3.602061569704899,3.595095480392385,3.6088560481602023,interior,,4.49678294245383,-3.0,-2.9143624235868497,False,-24060.721306521173,0.5295084306539037,165,alpha>4 exponential truth
b-exp-a5.0-F2,b,F2,exp,5.0,5.0,100.0,10.0,alpha,4.991116296287995,4.976899439029632,5.0052451562825935,interior,True,4.991116296287995,-3.0,-2.997877588236312,True,-22761.862532930238,0.5472362701534746,131,alpha>4 exponential truth
b-thick-a4-F1,b,F1,thick,nan,4.0,100.0,10.0,beta,3.1610042002678145,3.157401175492866,3.1645778224877597,interior,,5.445293306499064,nan,-3.2134157626803774,,-44388.49437012723,0.5536979629578805,147,"extended-medium kernel, alpha=4"
b-thick-a4-F2,b,F2,thick,4.0,4.0,100.0,10.0,alpha,4.020687836230726,4.006553962811841,4.035361122595461,interior,True,4.020687836230726,nan,-2.885393724312932,,-52968.92927632842,0.5790909076632866,115,"extended-medium kernel, alpha=4"
b-thin2comp-b3.67-F1,b,F1,thin2comp,3.67,4.395209580838324,100.0,10.0,beta,3.6722564256786594,3.665222185568312,3.6796199829353853,interior,True,4.391977652815214,-3.0,-2.9974185461233653,True,-22774.17287873841,0.5455369561155587,129,"thin beta=3.67 with unmodelled second component (offset 1.5 sigma, 40%, redder)"
