burst_name,chime_event_id,chime_h5_file_on_h17,chime_h5_file_size_bytes,chime_h5_sha256_checksum,current_candidate_shared_dispersion_measure_pc_per_cm3,dispersion_measure_status,arrival_time_reference_frequency_mhz,recovered_dsa_trigger_time_modified_julian_date_utc,dsa_trigger_time_evidence,chime_arrival_time_fit_status,dsa_arrival_time_fit_status,chime_station_clock_to_utc_status,dsa_station_clock_to_utc_status,ready_for_crossmatch,what_is_still_missing
zach,210456524,/data/Faber2026/data/chime-frb/zach/singlebeam_210456524.h5,1171470638,215079a689c18b50a4b2cd8003529e34d531a326be677a86187be02e47d0f1a9,262.368,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,59617.80850364566,"Directly confirmed by producer records from this burst's observing run","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
whitney,215063905,/data/Faber2026/data/chime-frb/whitney/singlebeam_215063905.h5,1160748918,e76950cc2e825169cb7c912f05fe996f8918bb3eb12f730d313eed779e6b559f,462.174,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,59648.24172075109,"Directly confirmed by producer records from this burst's observing run","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
oran,224263996,/data/Faber2026/data/chime-frb/oran/singlebeam_224263996.h5,1490075166,89ab4a255783b1a8cf26488032f3f8aad4e58779514d9c01c2ad16df5a470af3,396.882,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,59705.59701297033,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
isha,252069198,/data/Faber2026/data/chime-frb/isha/singlebeam_252069198.h5,1107114294,0dc5ec9802d2b700988f1b6cf1a0b21a6fce4a9f1f8565ae27ffae57e70e392e,411.568,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,59896.386510967975,"Recovered with counter arithmetic validated on records before and after this event; no same-run producer record survives","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
wilhelm,253635173,/data/Faber2026/data/chime-frb/wilhelm/singlebeam_253635173.h5,1090998918,7f86a38d823e2a86dc2033f82e7e23fb0e476870a6032e560dd71863b3dccc42,602.346,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,59916.00175095013,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
phineas,274819243,/data/Faber2026/data/chime-frb/phineas/singlebeam_274819243.h5,1588145054,3ce7ab34cd00fa2eb2cf68189dc40618371dbd8a0f6387cb443bd3970e88eff6,610.274,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,60010.37885773464,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
freya,278720455,/data/Faber2026/data/chime-frb/freya/singlebeam_278720455.h5,1198412798,676a9033c10926c213603939bee78c44d6d1a011c01e4279b41bccc97127df52,912.4,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,60028.071690569974,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
johndoeII,311723353,/data/Faber2026/data/chime-frb/johndoeii/singlebeam_311723353.h5,1342789614,6e254dc1d024999a2ae60956dcb5433780da702b9346432ede6837833488bb2a,696.506,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,60170.3609267866,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
hamilton,318353610,/data/Faber2026/data/chime-frb/hamilton/singlebeam_318353610.h5,1074883734,d90ae601c450e3585333831ee0511a509e3aa9fce073f7dc3ca6df56e4f487a7,518.799,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,60200.207158079196,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
mahi,354049284,/data/Faber2026/data/chime-frb/mahi/singlebeam_354049284.h5,1016991810,bcf3b157436c3282f38b1f4a479694839fc0933507e88b66b5c0ddb98d9b88bc,960.128,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,60331.10427998119,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
chromatica,356959136,/data/Faber2026/data/chime-frb/chromatica/singlebeam_356959136.h5,1031538710,2b97829b5a9636f4f502b388abff2a57cb660a8ed59ebb881176c26cd6765211,272.664,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,60343.83182190782,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
casey,362593221,/data/Faber2026/data/chime-frb/casey/singlebeam_362593221.h5,1037114494,ea15c60b2bc770b30ab24d2d21e8e3fac8f5f3fe02238019ef258679770ebc0c,491.207,"Candidate DSA value for referring both telescopes to 400 MHz; scientific source approval still required",400,60369.37095221912,"Recovered with counter arithmetic validated on surviving records from the same observing era","Missing: no approved burst-model arrival time or statistical uncertainty","Missing: no approved burst-model arrival time or statistical uncertainty","Unknown: offset between the CHIME station clock and UTC is not quantified","Unknown: offset between the DSA station clock and UTC is not quantified",NO,"Approve the dispersion-measure source; produce fitted CHIME and DSA arrival times with statistical uncertainties; add separate clock-status fields that preserve both unknown terms"
